#;Client ID;Name;Email;Gender;Departement;Kelas;Password;Password Prompt
1;345543;Candra 2;candra.sulistiyono@gmail.com;;;5;8bb0cf6eb9b17d0f7d22b456f121257dc1254e1f01665370476383ea776df414;
2;;Candra 2;choy2@gmail.com;;;0;03ac674216f3e15c761ee1a5e255f067953623c8b388b4459e13f978d7c846f4;
21;;Candra 2;choy4@gmail.com;;;0;03ac674216f3e15c761ee1a5e255f067953623c8b388b4459e13f978d7c846f4;
22;;Candra 2;fatiya@gmail.com;;;0;ef797c8118f02dfb649607dd5d3f8c7623048c9c063d532cc95c5ed7a898a64f;
28;;testing;Testing@gmail.com;;;0;ef797c8118f02dfb649607dd5d3f8c7623048c9c063d532cc95c5ed7a898a64f;
30;;test;Test@gmail.com;;;0;ef797c8118f02dfb649607dd5d3f8c7623048c9c063d532cc95c5ed7a898a64f;
31;;fat;Test123@gmail.com;;;0;ef797c8118f02dfb649607dd5d3f8c7623048c9c063d532cc95c5ed7a898a64f;
32;;fatiya salsabila;fatiyasalsabila@gmail.com;;;10;ef797c8118f02dfb649607dd5d3f8c7623048c9c063d532cc95c5ed7a898a64f;
33;;Candra 2;elsyarifah@gmail.com;;;0;8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92;
34;;Husainn;husainnn@gmail.com;famale;aaaa;0;ef797c8118f02dfb649607dd5d3f8c7623048c9c063d532cc95c5ed7a898a64f;8bb0cf6eb9b17d0f7d22b456f121257dc1254e1f01665370476383ea776df414
35;;Jeni;Jeni@gmail.com;;;0;ef797c8118f02dfb649607dd5d3f8c7623048c9c063d532cc95c5ed7a898a64f;
36;;testing;candra.sulistiyono7@gmail.com;;;0;8bb0cf6eb9b17d0f7d22b456f121257dc1254e1f01665370476383ea776df414;
37;;Layla Syarifah;syareefa4@gmail.com;;;0;ef797c8118f02dfb649607dd5d3f8c7623048c9c063d532cc95c5ed7a898a64f;
38;;asta;asta@gmail.com;;;0;8bb0cf6eb9b17d0f7d22b456f121257dc1254e1f01665370476383ea776df414;
39;;Dewi Pulung;dew.sarip@gmail.com;;;0;39f676866a7c1e08cd4a4644a07644325cfe81276b7142c0e3df496f1fef315e;
40;;Januar Test;yongabdi@gmail.com;;;0;a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3;
41;0888349;Adrian Galuh Seva Pratama;galuhsva@gmail.com;;;0;8bb0cf6eb9b17d0f7d22b456f121257dc1254e1f01665370476383ea776df414;
44;;instructur;fatiyasalsabila83@gmail.com;perempuan;aaaa;10;d7fd386b9fe9ab0505b7ef007c86845b5c46c548d4731a8f5e03d5f830bd7303;8bb0cf6eb9b17d0f7d22b456f121257dc1254e1f01665370476383ea776df414
45;;BGP 1;bgp1_test@gmail.com;;;0;8bb0cf6eb9b17d0f7d22b456f121257dc1254e1f01665370476383ea776df414;
46;;BGP 2;bgp2_test@gmail.com;;;0;8bb0cf6eb9b17d0f7d22b456f121257dc1254e1f01665370476383ea776df414;
47;;hallo;bgp3_test@gmail.com;famale;testing;5;8bb0cf6eb9b17d0f7d22b456f121257dc1254e1f01665370476383ea776df414;8bb0cf6eb9b17d0f7d22b456f121257dc1254e1f01665370476383ea776df414
169;;fatiya 2;fatiyasalsabila@gmail.com;perempuan;komputer;7;8bb0cf6eb9b17d0f7d22b456f121257dc1254e1f01665370476383ea776df414;8bb0cf6eb9b17d0f7d22b456f121257dc1254e1f01665370476383ea776df414
171;;nisa;nisa@gmail.com;;;7;f27d49759bd80a4fc97774e6e81d65b1900834a5617637b722ed84bb1af568e6;
172;;Aveceena;ave@gmail.com;;;5;47757748329c18858825afaea450c6a8c46c96c3469be276d5cd40db9b49acd4;
174;;vanino;vanino@gmail.com;;;6;2313807ef52425f9c5489ee821cf0562501be8ffd98c3b74303433d913ef09d0;
177;080835903;nisa;nisa@gmail.com;perempuan;komputer;10;ef797c8118f02dfb649607dd5d3f8c7623048c9c063d532cc95c5ed7a898a64f;8bb0cf6eb9b17d0f7d22b456f121257dc1254e1f01665370476383ea776df414
181;;haidar;ZiyanHaidar@gmail.com;;;5;d4f3d6e90168a19b6542ed6d186ec422ee8d9d5002d27b8f63a21dd4ee39d843;
183;080835904;test;test@gmail.com;female;testing;5;ef797c8118f02dfb649607dd5d3f8c7623048c9c063d532cc95c5ed7a898a64f;ef797c8118f02dfb649607dd5d3f8c7623048c9c063d532cc95c5ed7a898a64f
184;080835905;siswa1;siswa1@gmail.com;perempuan;TKJ;7;82f3661603af45e59ea806723fd558aeb2da05f3b2b5280b395fb2dbe96a85b1;8bb0cf6eb9b17d0f7d22b456f121257dc1254e1f01665370476383ea776df414
